Name,address_id,Phone,Alternative Phone,Birthday,Race,Hispanic,wheelchair,low_income,disabled,need_caregiver,Notes,Email,Date Registered,Audit
Ryan Zuniga,14,(574)171-630,(657)165-366 (son),1974-06-15,10,Yes,1,0,0,1,,davidmorgan@hotmail.com,2024-04-25,"Audit completed on 11/19/2021, status: Failed"
Charles Conway,26,(360)154-547,,1965-12-05,5,Yes,0,1,1,0,Hearing aid,,2022-08-15,"Audit completed on 09/21/2020, status: Failed"
Mary Williams,27,(204)418-145,,1974-05-30,5,,1,1,1,0,Hearing aid,,2023-01-05,"Audit completed on 02/09/2022, status: Failed"
Aaron Hamilton,47,(444)998-874,(136)891-653 (neighbor),1958-12-08,5,Yes,1,1,1,0,Eyesight issues,,2020-05-05,"Audit completed on 04/08/2024, status: Failed"
Ernest Vasquez,1,(265)181-274,,1985-08-11,5,Yes,0,1,1,1,Eyesight issues,brooke27@stone-james.com,2023-03-20,"Audit completed on 10/17/2023, status: Passed"
Scott Schultz,23,(173)201-614,(352)467-863 (daughter),1984-07-26,10,Yes,0,1,1,0,Hearing aid,,2025-01-14,"Audit completed on 11/25/2021, status: Failed"
Christina Daniel,27,(384)115-728,,1979-03-05,1,Yes,1,1,0,1,Companion dog,ggibson@davis.net,2025-02-06,"Audit completed on 09/22/2024, status: Pending"
Christopher Hubbard,1,(775)332-819,,1948-11-05,5,Yes,1,1,1,1,Companion dog,,2022-12-08,"Audit completed on 03/08/2023, status: Pending"
Stephen Myers,21,(719)393-857,(961)572-998 (neighbor),2004-05-27,5,Yes,0,1,1,0,Need wheelchair,,2023-07-27,"Audit completed on 10/09/2023, status: Failed"
Samantha Dennis,25,(675)248-710,(238)669-523 (friend),1987-06-03,5,Yes,1,0,1,0,,madison59@hotmail.com,2020-10-06,"Audit completed on 01/06/2023, status: Failed"
Tracy Miller,5,(495)961-278,(133)274-417 (daughter),1985-11-27,5,,1,1,0,0,Walker required,higginsjimmy@mccormick-ramirez.com,2021-10-17,"Audit completed on 09/14/2020, status: Passed"
Sara Pittman,28,(621)289-354,(992)863-942 (daughter),1959-06-30,10,,1,1,1,0,,,2021-04-21,"Audit completed on 12/18/2024, status: Passed"
Kevin Mclaughlin,22,(210)657-956,(349)109-187 (son),1981-04-14,1,Yes,1,0,1,0,,,2022-05-01,"Audit completed on 06/28/2023, status: Pending"
James Thomas,26,(815)346-186,,1959-03-24,10,,0,1,1,1,Need wheelchair,,2021-04-28,"Audit completed on 04/28/2024, status: Failed"
Paul Ellis,11,(487)923-317,(757)532-659 (son),1962-08-17,5,,0,1,1,0,,,2024-03-12,"Audit completed on 07/23/2021, status: Passed"
Denise Melton,35,(621)175-208,,1988-07-26,1,,1,0,0,0,Need wheelchair,,2023-12-19,"Audit completed on 02/27/2023, status: Passed"
Tammy Taylor,42,(731)924-260,,1937-01-12,1,Yes,0,1,0,1,,,2024-06-24,"Audit completed on 11/03/2024, status: Pending"
Edward Tyler,41,(931)383-197,(500)251-846 (friend),1935-12-03,5,,1,0,0,0,Companion dog,,2022-10-20,"Audit completed on 04/02/2022, status: Pending"
Patricia Gonzalez,31,(547)447-571,,1959-12-19,5,Yes,1,0,0,1,Hearing aid,bakernathan@weber.info,2024-10-12,"Audit completed on 05/14/2020, status: Passed"
Kelly Brandt,47,(122)142-191,,1967-06-29,2,Yes,0,0,0,1,,,2022-11-08,"Audit completed on 12/07/2023, status: Pending"
Karen Lopez,9,(511)907-231,(890)829-755 (neighbor),1945-01-19,5,,1,1,0,1,Companion dog,,2024-07-01,"Audit completed on 01/17/2024, status: Passed"
Evelyn Smith,39,(141)640-414,(887)814-511 (son),1974-08-26,5,Yes,0,1,0,1,,robertsmith@simon.com,2020-10-29,"Audit completed on 09/25/2024, status: Failed"
Patrick Joseph,25,(511)899-457,,1979-08-28,5,Yes,0,1,0,0,Eyesight issues,,2023-09-03,"Audit completed on 08/20/2022, status: Passed"
Frank Yang,20,(231)148-175,(216)597-657 (son),1934-03-04,5,,1,0,1,0,,,2020-09-27,"Audit completed on 09/22/2023, status: Passed"
