Name,address_id,Phone,Alternative Phone,Birthday,Race,Hispanic,wheelchair,new_passenger,low_income,disabled,need_caregiver,Notes,Email,Date Registered,Audit
Ryan Zuniga,14,(574)171-630,(657)165-366 (son),6/15/1974,10,Yes,1,1,0,0,1,,davidmorgan@hotmail.com,4/25/2024,"Audit completed on 11/19/2021, status: Failed"
Charles Conway,26,(360)154-547,,12/5/1965,5,Yes,0,0,1,1,0,Hearing aid,,8/15/2022,"Audit completed on 09/21/2020, status: Failed"
Mary Williams,27,(204)418-145,,5/30/1974,5,,1,0,1,1,0,Hearing aid,,1/5/2023,"Audit completed on 02/09/2022, status: Failed"
Aaron Hamilton,47,(444)998-874,(136)891-653 (neighbor),12/8/1958,5,Yes,1,0,1,1,0,Eyesight issues,,5/5/2020,"Audit completed on 04/08/2024, status: Failed"
Ernest Vasquez,1,(265)181-274,,8/11/1985,5,Yes,0,0,1,1,1,Eyesight issues,brooke27@stone-james.com,3/20/2023,"Audit completed on 10/17/2023, status: Passed"
Scott Schultz,23,(173)201-614,(352)467-863 (daughter),7/26/1984,10,Yes,0,1,1,1,0,Hearing aid,,1/14/2025,"Audit completed on 11/25/2021, status: Failed"
Christina Daniel,27,(384)115-728,,3/5/1979,1,Yes,1,1,1,0,1,Companion dog,ggibson@davis.net,2/6/2025,"Audit completed on 09/22/2024, status: Pending"
Christopher Hubbard,1,(775)332-819,,11/5/1948,5,Yes,1,0,1,1,1,Companion dog,,12/8/2022,"Audit completed on 03/08/2023, status: Pending"
Stephen Myers,21,(719)393-857,(961)572-998 (neighbor),5/27/2004,5,Yes,0,0,1,1,0,Need wheelchair,,7/27/2023,"Audit completed on 10/09/2023, status: Failed"
Samantha Dennis,25,(675)248-710,(238)669-523 (friend),6/3/1987,5,Yes,1,1,0,1,0,,madison59@hotmail.com,10/6/2020,"Audit completed on 01/06/2023, status: Failed"
Tracy Miller,5,(495)961-278,(133)274-417 (daughter),11/27/1985,5,,1,1,1,0,0,Walker required,higginsjimmy@mccormick-ramirez.com,10/17/2021,"Audit completed on 09/14/2020, status: Passed"
Sara Pittman,28,(621)289-354,(992)863-942 (daughter),6/30/1959,10,,1,1,1,1,0,,,4/21/2021,"Audit completed on 12/18/2024, status: Passed"
Kevin Mclaughlin,22,(210)657-956,(349)109-187 (son),4/14/1981,1,Yes,1,1,0,1,0,,,5/1/2022,"Audit completed on 06/28/2023, status: Pending"
James Thomas,26,(815)346-186,,3/24/1959,10,,0,0,1,1,1,Need wheelchair,,4/28/2021,"Audit completed on 04/28/2024, status: Failed"
Paul Ellis,11,(487)923-317,(757)532-659 (son),8/17/1962,5,,0,1,1,1,0,,,3/12/2024,"Audit completed on 07/23/2021, status: Passed"
Denise Melton,35,(621)175-208,,7/26/1988,1,,1,1,0,0,0,Need wheelchair,,12/19/2023,"Audit completed on 02/27/2023, status: Passed"
Tammy Taylor,42,(731)924-260,,1/12/1937,1,Yes,0,1,1,0,1,,,6/24/2024,"Audit completed on 11/03/2024, status: Pending"
Edward Tyler,41,(931)383-197,(500)251-846 (friend),12/3/1935,5,,1,1,0,0,0,Companion dog,,10/20/2022,"Audit completed on 04/02/2022, status: Pending"
Patricia Gonzalez,31,(547)447-571,,12/19/1959,5,Yes,1,1,0,0,1,Hearing aid,bakernathan@weber.info,10/12/2024,"Audit completed on 05/14/2020, status: Passed"
Kelly Brandt,47,(122)142-191,,6/29/1967,2,Yes,0,1,0,0,1,,,11/8/2022,"Audit completed on 12/07/2023, status: Pending"
Karen Lopez,9,(511)907-231,(890)829-755 (neighbor),1/19/1945,5,,1,1,1,0,1,Companion dog,,7/1/2024,"Audit completed on 01/17/2024, status: Passed"
Evelyn Smith,39,(141)640-414,(887)814-511 (son),8/26/1974,5,Yes,0,0,1,0,1,,robertsmith@simon.com,10/29/2020,"Audit completed on 09/25/2024, status: Failed"
Patrick Joseph,25,(511)899-457,,8/28/1979,5,Yes,0,0,1,0,0,Eyesight issues,,9/3/2023,"Audit completed on 08/20/2022, status: Passed"
Frank Yang,20,(231)148-175,(216)597-657 (son),3/4/1934,5,,1,0,0,1,0,,,9/27/2020,"Audit completed on 09/22/2023, status: Passed"
Angela Martin,49,(166)816-982,,3/7/1955,5,,1,0,1,0,0,Walker required,,11/7/2023,"Audit completed on 01/12/2022, status: Failed"
Leah Freeman,22,(747)739-918,(515)998-338 (neighbor),6/19/1985,5,Yes,0,0,1,0,1,,danielblack@hayes-weeks.com,7/22/2022,"Audit completed on 10/08/2022, status: Failed"
Bruce Patel,49,(831)391-788,,4/8/1954,5,Yes,1,0,1,0,0,,,11/29/2023,"Audit completed on 05/16/2024, status: Pending"
Robert Christensen,50,(320)791-298,(683)923-803 (son),2/18/1979,5,,0,1,1,1,1,Companion dog,,7/21/2020,"Audit completed on 03/27/2020, status: Pending"
Jeffrey Hampton,22,(926)421-498,,8/22/1986,10,,1,1,1,1,1,,,3/4/2022,"Audit completed on 08/16/2020, status: Pending"
Louis Woods,49,(863)421-777,,2/6/1936,5,Yes,1,1,1,0,1,Eyesight issues,,3/30/2024,"Audit completed on 10/13/2023, status: Pending"
John Barber,39,(175)750-300,(990)834-163 (neighbor),4/15/2004,5,Yes,0,1,0,0,1,,,10/23/2022,"Audit completed on 08/30/2023, status: Passed"
Rachel Williams,40,(609)139-136,,7/1/1936,5,,1,1,0,0,1,,,9/20/2023,"Audit completed on 04/25/2024, status: Pending"
Hannah Coleman,11,(488)686-544,(232)235-160 (friend),8/5/1946,5,Yes,1,0,1,0,0,,,5/2/2020,"Audit completed on 11/06/2023, status: Failed"
Stephanie Turner,17,(327)169-145,,1/8/2004,5,,1,0,0,0,0,Companion dog,,1/14/2020,"Audit completed on 04/05/2022, status: Passed"
Susan Garcia,37,(358)499-584,(578)392-499 (friend),1/31/1993,5,,1,0,1,0,1,Need wheelchair,,9/20/2024,"Audit completed on 06/24/2024, status: Pending"
Donald Maddox,19,(714)584-972,(459)367-654 (daughter),9/7/1978,5,,0,1,1,0,0,,,3/17/2022,"Audit completed on 07/01/2020, status: Pending"
Matthew Fitzgerald,12,(581)583-197,,11/14/1980,5,,1,0,1,0,0,Eyesight issues,,12/30/2020,"Audit completed on 07/17/2020, status: Pending"
Jay Ellis,23,(125)838-268,,4/18/1976,5,,0,1,1,0,1,,,4/25/2022,"Audit completed on 08/22/2021, status: Failed"
Crystal Sosa,28,(807)780-324,(329)436-622 (son),3/3/2000,5,,0,0,1,0,0,Need wheelchair,jennifer73@yahoo.com,4/30/2021,"Audit completed on 03/24/2021, status: Failed"
Allen Atkins,38,(801)586-184,,8/5/1950,5,,0,0,0,1,0,,,4/15/2024,"Audit completed on 05/09/2022, status: Pending"
Hannah Hernandez,28,(368)109-664,(735)362-403 (friend),4/6/1993,5,,0,0,0,0,1,,,2/13/2020,"Audit completed on 07/19/2020, status: Failed"
Kelly Willis,12,(396)689-106,(665)503-111 (son),9/7/1990,5,,0,0,1,1,1,Hearing aid,,1/6/2024,"Audit completed on 02/04/2024, status: Pending"
Mary Shields,36,(287)915-201,(869)953-139 (neighbor),11/14/1971,1,,1,0,1,0,1,Companion dog,,10/24/2021,"Audit completed on 05/20/2024, status: Failed"
Angela Griffin,38,(543)472-916,,2/28/1956,5,,1,1,1,0,1,Walker required,,9/16/2023,"Audit completed on 08/16/2023, status: Passed"
Amanda Edwards,44,(880)463-694,(538)711-191 (son),12/7/1950,5,Yes,1,1,1,0,1,,,5/17/2022,"Audit completed on 06/19/2023, status: Pending"
Tina Kennedy,36,(537)274-990,,11/10/1953,2,,0,1,1,0,0,,,3/24/2024,"Audit completed on 10/10/2020, status: Passed"
Jennifer Hudson,7,(388)518-186,(230)401-947 (friend),3/5/1999,5,,0,0,1,1,0,Need wheelchair,ashleymiller@hotmail.com,6/4/2022,"Audit completed on 01/01/2025, status: Pending"
Todd Hernandez,49,(633)834-716,,11/9/1958,2,,1,0,0,0,0,Companion dog,,6/11/2022,"Audit completed on 05/21/2023, status: Failed"
Adam Jones,1,(611)761-230,(115)881-102 (neighbor),1/24/2005,5,Yes,0,0,0,0,1,Companion dog,,9/28/2021,"Audit completed on 02/01/2021, status: Failed"
William Armstrong,31,(767)564-112,(495)985-172 (son),3/17/1962,5,Yes,1,0,0,0,1,,,9/22/2022,"Audit completed on 03/19/2021, status: Pending"
Brenda Greene,37,(207)710-303,(377)821-483 (friend),4/10/1948,5,Yes,1,1,1,0,1,Need wheelchair,,6/4/2020,"Audit completed on 11/07/2023, status: Passed"
Shirley Fuentes,13,(960)129-453,,7/30/1958,10,Yes,1,1,0,0,1,,rhondaduncan@smith.net,3/21/2020,"Audit completed on 05/21/2022, status: Pending"
Justin Watson,28,(290)287-786,(348)137-714 (daughter),10/5/1977,5,,0,1,0,1,1,,,7/7/2021,"Audit completed on 08/19/2023, status: Failed"
Jessica Kaiser,20,(816)489-667,,10/12/1986,5,,0,1,0,0,1,,,11/11/2024,"Audit completed on 08/22/2020, status: Failed"
Charles Scott,32,(388)513-652,,4/24/1949,5,Yes,1,0,1,1,0,Need wheelchair,,5/4/2023,"Audit completed on 08/08/2021, status: Passed"
Melissa Barrett,33,(707)350-272,,11/13/1990,5,,0,0,1,0,1,,xacosta@short-mack.com,9/30/2022,"Audit completed on 06/01/2022, status: Passed"
David Scott,38,(775)363-439,,3/16/1951,5,Yes,1,0,1,1,1,Walker required,,11/17/2023,"Audit completed on 04/23/2024, status: Passed"
Shane Morrison,46,(456)104-810,,9/1/2000,10,Yes,1,1,1,0,0,Companion dog,,5/30/2021,"Audit completed on 01/27/2021, status: Pending"
Laura Gross,49,(936)412-674,(533)598-779 (son),5/22/1967,5,,0,0,0,1,1,Walker required,harriscrystal@yahoo.com,9/6/2021,"Audit completed on 01/24/2020, status: Failed"
Christian Andrews,25,(904)830-162,(393)532-487 (son),7/26/1981,5,Yes,1,1,0,0,0,Need wheelchair,,2/18/2021,"Audit completed on 09/13/2023, status: Failed"
Matthew Herman,48,(350)310-186,,3/21/1992,5,,1,0,0,1,1,,ibowen@yahoo.com,12/5/2022,"Audit completed on 10/21/2024, status: Failed"
Robert Mcintyre,42,(819)397-974,,9/14/1937,5,Yes,1,1,0,1,1,Eyesight issues,rhodesmegan@king.com,8/7/2020,"Audit completed on 01/29/2020, status: Failed"
Cameron Fletcher,9,(718)692-989,,4/12/1975,5,,0,0,0,1,1,Companion dog,,6/14/2020,"Audit completed on 09/07/2022, status: Failed"
John Hebert,48,(376)730-682,(763)878-394 (daughter),10/15/1972,10,,1,1,1,0,1,Walker required,,1/20/2024,"Audit completed on 08/24/2021, status: Pending"
Kelly Bailey,19,(304)856-299,,10/17/1936,5,,0,1,0,0,1,Companion dog,,8/4/2023,"Audit completed on 06/25/2022, status: Passed"
Kimberly Ferguson,50,(354)602-218,,5/8/1983,5,,1,1,1,0,0,,,1/22/2025,"Audit completed on 11/24/2024, status: Passed"
Christine Vazquez,6,(807)143-347,,2/28/1955,5,,0,1,1,1,1,Hearing aid,,11/21/2024,"Audit completed on 01/05/2020, status: Pending"
Morgan Gomez,43,(776)233-546,,4/8/1995,5,Yes,0,1,1,1,0,Need wheelchair,lovemartin@medina.biz,8/29/2020,"Audit completed on 12/21/2023, status: Failed"
Jesse Perry,19,(259)869-625,(790)227-882 (neighbor),9/2/1938,1,,0,0,0,1,0,,,7/3/2021,"Audit completed on 09/21/2021, status: Pending"
James Burns,15,(469)251-151,,5/5/1972,5,,0,1,1,0,1,,,1/16/2023,"Audit completed on 02/05/2020, status: Pending"
Joel Lewis,4,(139)607-325,,9/2/1993,5,,1,1,0,0,1,,,2/1/2021,"Audit completed on 07/19/2023, status: Passed"
Javier Krueger,40,(607)805-840,(113)241-181 (neighbor),9/11/1947,5,,1,1,1,0,0,Eyesight issues,,3/17/2020,"Audit completed on 04/09/2024, status: Failed"
Robin Nguyen,24,(354)694-840,(335)557-387 (son),10/4/1940,5,Yes,1,0,0,1,0,Eyesight issues,,3/7/2021,"Audit completed on 02/28/2023, status: Pending"
Anthony Collins,32,(254)947-359,,4/4/1952,5,,1,0,0,1,0,Need wheelchair,chaneystephanie@hotmail.com,2/8/2021,"Audit completed on 03/11/2021, status: Passed"
Stephanie Novak,45,(535)987-716,(917)222-136 (daughter),1/22/1946,1,Yes,1,1,0,0,0,,rodriguezjohn@hotmail.com,10/6/2021,"Audit completed on 07/17/2024, status: Failed"
Sarah Atkinson,2,(285)815-718,,2/15/1949,5,,0,1,1,1,1,,derekmathis@yahoo.com,10/23/2023,"Audit completed on 07/04/2020, status: Pending"
Jamie Jackson,43,(688)919-568,,8/20/1986,5,Yes,0,1,1,1,0,Hearing aid,,4/21/2023,"Audit completed on 06/07/2024, status: Pending"
Dustin Moses,34,(118)464-977,,7/24/1990,5,,0,0,0,0,0,,,2/23/2023,"Audit completed on 08/22/2024, status: Failed"
Jack Cunningham,23,(974)300-610,(598)840-164 (daughter),3/28/1941,5,Yes,1,0,0,0,0,,,3/18/2022,"Audit completed on 10/02/2020, status: Pending"
Gabriel Stevens,16,(832)694-187,,10/4/2001,5,Yes,0,1,1,0,1,Companion dog,,5/17/2022,"Audit completed on 12/28/2023, status: Pending"
Jennifer Richardson,38,(594)718-947,,3/19/1977,5,Yes,0,1,1,0,1,,,11/22/2020,"Audit completed on 11/23/2021, status: Passed"
Dawn Hood,45,(805)115-877,,9/17/1982,5,,1,1,0,1,1,,opratt@leach.com,1/7/2020,"Audit completed on 03/28/2020, status: Pending"
Catherine Ramsey,32,(478)559-672,,5/25/1944,5,Yes,0,0,1,1,1,,,2/2/2021,"Audit completed on 01/08/2024, status: Passed"
Jared Wood,14,(364)719-994,,5/31/2003,5,Yes,0,0,1,1,1,Eyesight issues,,10/4/2024,"Audit completed on 06/16/2020, status: Passed"
Barbara Hernandez,28,(195)126-814,,12/3/1995,5,,1,1,0,1,0,,,9/2/2024,"Audit completed on 05/04/2024, status: Pending"
Alexis Ross,50,(542)358-478,(805)379-429 (daughter),10/31/1947,1,Yes,0,1,0,1,0,,,11/5/2021,"Audit completed on 08/06/2022, status: Passed"
Tracey Brown MD,13,(297)135-919,(688)523-211 (son),7/24/1943,5,Yes,0,0,1,1,1,,,3/14/2021,"Audit completed on 12/27/2022, status: Passed"
Lori Graham,17,(106)945-235,,3/16/1945,5,Yes,1,1,0,1,1,Walker required,,8/1/2024,"Audit completed on 09/16/2022, status: Pending"
Timothy Ramos,6,(934)290-453,(696)420-443 (son),11/29/1951,5,,1,0,0,1,1,,,2/5/2025,"Audit completed on 12/31/2022, status: Failed"
